,productId,Title,userId,Helpfulness,Score,Time,Text,Cat1,Cat2,Cat3,tokens,keyatm_label,Accuracy
33651,B0006II760,Nature's Secret Woman's Whole Body Daily Multi Vitamin,ARBDSUQARO3F4,2/2,5.0,1322265600,I was alarmed when I first saw the size of these vitamins but I am pleased to say that they are easy to swallow with a morning smoothie. No after taste or stomache upset. My skin became flawless within five days of taking these. Very pleased.,health personal care,nutrition wellness,vitamins supplements,46,pet supplies,False
10910,B00023ZZ5U,Natrol (incl Laci Le Beau Teas) Natrol Melatonin,A2V7VGMR7WP1R2,1/3,4.0,1190764800,"Mayb 3mg, is too much for me.. I didn't sleep very well with the 3 mg pill, the divided into 4 pieces, and is ok.",health personal care,health care,sleep snoring,25,pet supplies,False
8723,B000056JND,Philips Avent 3 Pack Bottles,A1YZJS02NOOQEZ,2/3,5.0,1172361600,"These bottles are great! My breastfed baby took to them very easily, and now that she's older, the 4oz size makes a very good container to put cereal and other solid foods in (with the sealing discs). A benefit to these bottles is their ability to effectively and easily reduce the amount of air the baby swallows. As she is drinking from the bottle, you can actually see the air bubbles being released into the bottle in between sucks.In response to other posts about the bottles leaking, we have only used these bottles, and they have never leaked (even with mommy hurrying to pack bottles when running late). I have even dropped a bottle full of milk on the floor (several times), no leaks!I love that you can interchange the nipples and sealing discs, so I can have bottles or storage containers, depending on what I need! I also bought the Avent Breastpump Conversion kit ($9), so I can use my Medela pump to pump directly into the Avent bottles.All the bottle parts are dishwasher-safe, but I choose to clean the nipples myself with a nipple brush, just to be thorough. The rings, sealing discs, caps, and bottles themselves clean up very well in the dishwasher.These bottles are durable! Like I said, I have dropped them on the floor, pumped into them, run them through the dishwasher, sterilized them, boiled them (before I had a sterilizer), and they don't show any signs of wear at all! The bottles themselves are a very hard plastic, which can go through several babies without any problems. The nipples are a softer silicone, but are thick enough that they hold up great too.",baby products,feeding,bottle feeding,279,baby products,True
8586,B000AX24EW,Philips AVENT Isis iQ Duo Twin Electronic Breast Pump,A1HTAJ8CIYJB26,4/4,4.0,1171238400,"I've been using this pump for the past several months and have been happy with it only because I have nothing to compare it too. I do agaree with everything the prior review said for Pro's and Con's. I do like the petals since without them my nipple gets sucked all the way inside. If the suction is too hard it does become painful but then you can just decrease the suction. I found that at the end of each pumping session I have to massage each breast while the pump is active to get all my milk out though. I'm not sure if this is due to the pump or maybe my breasts are not fitting in the petals/cup correctly. It just prolongs my pumping time.I can deal with all that but I would say the biggest draw back for me is the freezer storage system. I work over an hour from home and are gone for over 10.5 hours. The freezer gel packs last a maximum of 6 hours - I've experimented with this including putting the entire themal bag in the freezer but that didn't lengthen the time. Since the thermal bags are such an odd vertical shape, I can't find any regular liquid freezer packs that are small enough to fit inside the bags. My job offeres a lactation room which has a small refigerator - thank goodness for that -but I'm still going to have a major problem in the summer when I have to travel home in the hot weather and when I have to travel to remote locations. The small gell packs are a major pain since there are so many of them.I can rearrange the parts in the center of the bag so that I have a small horizontal space to fit a different thermal bag. Right now I'm searching for a small bag like that which will fit inside this space and which I can use liquid freezer packs plus fit 2+ 9oz bottles inside - so we'll see. I contacted Avent about this and they offer nothing else.I also need a car adaptor which they currently do not provide but said they were working on it. They have no battery available.Before I purchased this pump I did research between Medella and Avent and thought both were comparable but the real quirks don't become apparent until you start using it!",baby products,feeding,breastfeeding,399,baby products,True
29857,B000Q0XL2I,Optimum Nutrition Whey Gold Meal,A15QC96SQW4ZUM,2/2,4.0,1306713600,"this has an excellent flavor (chocolate) and excellent ingredients, which is really the primary factors for me. i give it 4 stars because its pretty thick. i use a shaker bottle with a wire whisk ball and it still doesn't break up all the chunks. they are small, but still there...no matter how long i shake it up. so i tried a blender, which was a big mistake. the volume of liquid doubled. a half blender turned into a full blender, with no cup in the house nearly large enough to hold that concoction. took me about a half hour or more to drink a very large amount of thick, air entrained liquid. stick with a shaker bottle, it's much better. and the little chunks go down easy, as they break up well in the mouth and are still yummy in their own right. if you like the consistency of a mcdonalds milk shake, you'll like this stuff. but i have 2 other types that shake up smooth as silk, and they are awesome. they aren't meal replacements, but they are both high quality protein drinks. one of them is the french vanilla creme optimum nutrition 100% whey gold standard. absolutely incredible stuff. so in comparing the thin vs. thick, i really love the thin, and really like the thick. perhaps the whey gold meal is thicker because its a meal replacement, and also is not made with instantized whey protein. all in all, a very good product with excellent flavor.",health personal care,nutrition wellness,nutrition bars drinks,251,grocery gourmet food,False
35970,B000099SKD,"Energizer C Alkaline Industrial Batteries, Box Of 12",A12QO6TRKOOPU0,1/1,1.0,1329004800,"These batteries were inexpensive and industrial strength, but after using the last 4 batteries and thinking the other batteries dying was a fluke it is apparent that these are either old or just very bad product. I rarely if ever have any problems with any product purchased through Amazon but this one was not good. The batteries used before I replaced them lasted a year. I couldn't get more than a few weeks out of any of these.",health personal care,household supplies,unknown,78,health personal care,True
29971,B00005JD6C,Wash 'N Wear Barbie Doll w Color Change Outfits (2000),A2W4ST4L33BWXF,0/0,5.0,1307145600,"This is more popular with the granddaughters than I expected. Wind-up the washer & it will spin with the appearance of washing clothes. The washer doesn't actually spin any clothes. The front loader door doesn't open. However, the top lid does open. You can put a little water in there & put the special clothing in & within a few minutes, those special clothes change color (they resume their original color when dry). There's enough room in this washer for 3 small outfits. The laundry cart has wheels that move & the string for the clothes line is functional in holding 2 pieces of clothing on it with the cute clothes pins. Adorable doll & accessories. Note",toys games,dolls accessories,playsets,117,toys games,True
38106,B000KJZOWU,Leachco Snoogle Mini Compact Side Sleeper,A191SZNAM7S1VF,3/3,4.0,1337212800,"I ordered the Snoogle Mini because I really wanted all the features of a body pillow except I didn't want it to be under my head too. I wanted to keep the head pillow I am currently sleeping on. This was perfect for that! It is just the right size, not too small as other reviews have said. I am 5'7"" and average weight and I can put the very curly part between my knees and still hug the top. That may change as my pregnant belly expands, but I still expect to get good use out of this pillow.I did not find the cover too difficult. Or, rather, I should say my husband did not find the cover too difficult. As soon as the pillow arrived he insisted that we wash the cover before using it in our bed. I told him about all the reviews saying how hard it was to get the cover on and off. He peeled the cover off, washed it and stuck it back on. As long as you are systematic about putting it back on, you're fine.Also, I was able to stuff this size into a large tote bag and take it with me on a weekend trip to my in-laws. And it curls up so that I can lean against it to read in bed at night.I gave it four stars, not five, because some nights I feel like it is too thick between my knees and once I woke up with hip pain, but that might just be the way my body was changing or tweaking on that particular night.All in all, I am very happy with my purchase.",baby products,pregnancy maternity,maternity pillows,278,health personal care,False
5474,B00083HKDY,Hot Wheels Ferrari X-V Stunt Racer Challenge Track Set,unknown,7/7,5.0,1134864000,This toy is fun to play with. But sometimes the car might skid of the track or fall of the flexloop.But sometimes it makes 2 or 3 laps so it is a fun toy anyway.,toys games,vehicles remote control,vehicle playsets,35,toys games,True
10005,B000OWN65U,"Alli Weight-Loss Aid, Orlistat 60mg Capsules, Starter Pack",AVJJ2D4G5I0Z4,119/155,4.0,1183248000,"If you're looking for non-surgical ways to lose weight, the best track is FEWER CALORIES & EXERCISE. Eating smaller meals is one way to reduce caloric intake. Eating the same size meals with fewer calories is another. Or, lastly, stop the food that you injest from actually being absorbed by your body.Alli works on the principle of the latter, by blocking your body's ability to digest injested fat. And, in contrast to a lot of ads you might see on television, IT WORKS! YAY! I really have to congratulate whatever scientists actually figured out how to do this.Ok, but here's the downside. IT WORKS. Your body doesn't digest the fat, so it just goes through the rest of your digestive tract... and causes all sorts of unpleasant side effects along the way. They're really unpleasant. Seriously. I can't begin to convey how remarkably unpleasant they actually are. No matter what you heard, you will not be prepared. I actually took prescription Orlistat when it came out a few years ago, and, after stopping due to the side effects, I was *still* not prepared when I started Alli again recently.On the other hand, the side effects give you this great incentive to stay away from the pizza & deep fried chicken!!!For me, I eat remarkably healthy most of the time. I try and basically eliminate the need for Alli. But every so often, I get dragged to a business/social dinner or have to travel with few healthy food options available to me. In those cases where eating poorly is totally unavoidable, it's really nice to have Alli in my pocket.",health personal care,nutrition wellness,weight loss products,269,grocery gourmet food,False
39753,B000E1VF8Q,"Kay's Naturals Better Balance Kruncheeze White Cheddar Cheese - 1.5 Oz, 6 Pack ( Value Bulk Multi-pack)",A10A216DR5NUTJ,0/0,2.0,1343260800,I ordered these based on the positive reviews on amazon as well as I had been satisfied by other products by Kay's naturals. I found the cheddar cheese taste to be ok but the problem was that over 50% of the crackers in the bag have been crunched and it makes it difficult to eat. I canceled my subscription to the crackers. The box arrived intact and well packaged but the inside items were still crushed.,grocery gourmet food,snack food,unknown,76,grocery gourmet food,True
34952,B000P275WO,Bijan Black for Men Eau de Toilette,A1XYP6XZGO1J6,0/0,1.0,1325980800,The nozzle that the cologne sprays out of broke on me so not I have an empty bottle of brand new cologne its still attached and everything it just won't spray out.Thank you,beauty,fragrance,men s,33,beauty,True
24923,B0000959LU,Igia Straight N-Go Mobile Hair Straightener AT7351 - 1 ea,A36PNCA637MV8W,2/2,1.0,1284422400,"this iron does not get hot enough to do anything for my hair, i have very thin hair, its not that hard to straighten and it does absolutely nothing to my hair, very unimpressed. it doesn't seem to hold a charge very long either.",beauty,hair care,styling tools,44,health personal care,False
10120,B000LNJBQ0,"Graco Pack 'N Play Playard with Bassinet and Changer, Clara",A2UYFN90KEG9VH,32/32,5.0,1184284800,"We bought this pack n play after purchasing and returning an evenflo playard. We had one pack n play in the upstairs of our home from our first child and wanted a second one to have downstairs. The bassinet is quite sturdy, and all the pieces lock properly without to much effort. We didn't even need to use the instructions when setting it up. Plus it came with a mobile, a music station and a storage space for diapers and such. All in all a nice item, that can work for a girl or boy, definatley would recommend it!",baby products,gear,playards,99,toys games,False
32240,B000ELVZB8,Worldwide - Pure Protein Shake - 12 Bottles (11oz each),A3GOHJWFN5DMQQ,0/6,1.0,1316736000,"The shake is watery and makes me want to chug a gallon of bleach to remove the horrific aftertaste. It also contains soy, which is an ESTROGEN! I just bought these for the extra protein, but if I were a guy interested in building muscle, the last thing I'd drink is something with (essentially) estrogen in it (which, by the way, is also bad for women to consume, unless you like cancer). Even if you don't find the taste as foul as I do, do some research before you consider eating hormones (i.e., soy). It's my fault for not reading the ingredients, but this product does not deserve favorable reviews with regard to flavor. *Shudder*",health personal care,nutrition wellness,nutrition bars drinks,115,grocery gourmet food,False
13248,B000NNCI68,Petri Dishes with Agar and Swabs - Science Fair Project Kit,A2BE64VRVM605M,17/19,4.0,1206489600,"We bought this product for my son's third grade science fair project. They worked very well, we microwaved the agar and poured it into the dishes. After they cooled and gelled, we swabbed different places around the house and stored the dishes in zip lock bags. A couple of days later we had bacteria growing. I would recommend this product, directions were easy to follow and experiment worked.",toys games,learning education,science,68,grocery gourmet food,False
2050,B0001FUTZU,My Lip Stuff- Tube - Over 600 Lipbalm Flavors Available,A30A0FSJTR8M8T,4/5,5.0,1072742400,"So far I have about 30 of her balms, and 1 Body Butter Stick. They are all fabulous! The balms are smooth and leave a subtle shine on your lips. The scents are very true to their names. My favorites are probably Margarita, Coconut Lemongrass, and Brown Sugar and Cinnamon. I've reccommended My Lip Stuff to all my friends, and I highly reccommend it to you!",health personal care,personal care,lip care products,66,beauty,False
11016,B000F0VZV8,"Richell Wood Freestanding Pet Gate, Large, Autumn Matte Finish",A1LBB6C3EF7IJG,1/1,3.0,1191628800,"The pet gate is made well and looks great. However, not high enough for lab puppies once they figure out they can leap over it. We purchased three gates to block entrances into the family room and study, the puppies are 5 months and clear the gates like reindeer.The gate should be higher. I am a bit disappointtednow that the dogs can jump over them.",baby products,safety,gates doorways,65,pet supplies,False
21600,B00000JHX6,Thomas And Friends Wooden Railway - Thomas the Tank Engine,A2LLAGJW7PKU9Z,0/0,5.0,1264464000,"I didn't buy this for my nephew to enhance his intellect... I bought it for his new train set. He loves it, it's durable and I am happy.",toys games,vehicles remote control,play trains railway sets,28,toys games,True
38284,B000F4OYMQ,"3M Littmann Lightweight II S.E. Stethoscope, Burgundy Tube, 28 inch, 2451",A1WHF66BK3TKME,0/0,5.0,1337904000,"This was a gift to my daughter which will graduate in Aug '12. She had been managing to get by w/a ""cracker jack"" stethoscope so she was blown away that it worked so well. She is thrilled w/this product!!! Of course I'm happy when she's happy!!!! Besides, if she needs to save my life, I want her to have the tools to do it!!",health personal care,medical supplies equipment,health monitors,64,baby products,False
23257,B000G82L62,"Lundberg Wild Blend, Gourmet Blend of Wild and Whole Grain Brown Rice, Gluten Free, 16-Ounce Bags (Pack of 6) Package May Vary",A1LIZLFBI29RIA,14/15,4.0,1274054400,"Obviously rice isn't a low-carb food per se, but this wild blend has significantly less impact on my blood sugar than the jasmine variety I grew up eating. It's flavorful and has a wonderful chew -- and it cooks up just fine in a rice cooker (we use 1.5 cups of liquid per cup of rice). The 6-pack boxes we order two sets at a time keep us stocked for a few weeks. We do find, however, that the rice doesn't smell very good after only a little while in the storage bin. Doesn't change the flavor or its smell once you've cooked it, but I'd recommend washing out your storage container between refills.",grocery gourmet food,pantry staples,dried beans,114,grocery gourmet food,True
6470,B000B74DYG,Summer Infant Two Child/Two Room Scanning Monitor,A3699XI7V52781,4/5,4.0,1147910400,"Just as another reviewer stated, shortly after one year the power unit cracked. Ordered another power unit just to find out the whole monitor had quit working also. We loved it until then.",baby products,safety,monitors,33,pet supplies,False
31728,B000NCTTGG,KAI Body Glow 4oz,A37VYEXP5EZ030,2/2,3.0,1314576000,"I love the scent but this spray doesn't capture it as well as the roll-on oil. I'd recommend the oil over this if you'd like more of a fragrance but if you're into a subtle scent, this is perfect.",beauty,skin care,body,39,beauty,True
30099,B000EGZ3G6,"Palmer's Cocoa Butter Formula Massage Cream for Stretch Marks, 5.5 Ounce",A4IYZWV7K6QP8,0/2,1.0,1307836800,I started using this the moment i found out i was pregnant. I used it 2x at least a day and it did nothing for me at all. Don't waste your money thinking this will prevent stretch marks!,beauty,skin care,maternity,38,pet supplies,False
31413,B00026442M,Pampers Baby Dry Diapers (Packaging May Vary),A3UQP9FHRQQXI6,1/2,1.0,1313280000,We used Pampers sensitive swaddlers for my son but by the time he was size 3 they did not work. The swaddlers didn't have good protection and he would poop out of them. We decided to try baby dry. They are awful every diaper he either pees or poops out of. Now I am constantly washing his clothes and going through at least 3 outfits a day. I am really not happy with Baby Dry. I loved Pampers but a friend of mine told me she had same problem with the larger sizes of Pampers and had to switch to huggies. :(,baby products,diapering,disposable diapers,102,baby products,True
3706,B00004D3ES,Safety 1st Space Saver Fold-Up Bath Tub,A395FXW20B7K8Z,1/1,2.0,1108425600,doesn't hold much water and is too small for baby. Doesn't have good head support for the baby. End up returning this item and bought the Infant-to-Toddler Deluxe Comfort tub. Like it much better than this.,baby products,safety,bathroom safety,36,baby products,True
39769,B000F54AN8,"Conair SU1W Sound Therapy, Silver",A136W06HAUNVQG,4/4,4.0,1343347200,"I have tried a number of different machines, and returned all of them. I couldn't ever find one that got loud enough. I use it in my children's rooms to drowned out noise. The others that I tried had nice sounds and may have been more esthetically pleasing, but were VERY quiet. If you need a machine to drowned out noise, this is a great option! I now have one in both kids rooms (1 and 3), we even take it on vacation and camping (it can run on batteries, too). I recommend it to all of my friends who's kids have trouble sleeping.",health personal care,health care,alternative medicine,104,health personal care,True
3292,B00006C29H,Fisher&#45;Price Step &#38; Play Piano,A30OTRIDIPZGEU,3/3,5.0,1101772800,I purchased the Step and Play Piano for my daughter when she was 6 months old. From the first time she used it she loved it!! She immediately began playing with the different activities and it gives her the freedom to stand by herself. She is also quickly learning to balance herself on her feet. The only drawback is the permanent assembly because of the huge size. I would recommend this toy to anyone!!,toys games,baby toddler toys,music sound,74,toys games,True
11724,B000GULJB8,H2Ocean - Body Piercing Aftercare Spray,A2KIFDMV4XC1Z4,0/1,5.0,1197417600,"This product was recommended by the person who pierced my 10 year old daughter's ears. We bought it and used it twice a day (morning and evening) on each ear. As a result, her piercing was flawless - no pain, no infection, etc. I highly recommend H2Ocean to everyone.",beauty,skin care,unknown,49,baby products,False
36463,B000G231A8,Chattanooga Blue Vinyl ColPac,AQO5GLLCCHGM4,8/10,1.0,1330905600,"I have an 11x21 pack used on my shoulders, neck, and upper back. After about 3 months of casual daily use it started leaking its guts out. Others have have problems with them too.From reading other negative reviews, two suggestions from other owners stand out.One, the Physical Therapist who introduced one owner to the product line cautioned her to put the pac in an airtight bag when in the freezer, as the dry, cold air pulls something out of the vinyl over time, making it prone to seam separation.Two, another owner says vinyl repair patches, available at sporting goods stores, will stop the leaks. Another user tried silicone gel, duct tape, and other approaches to no avail. I tried duct tape, but the gel found its way several inches along the seam and finally appeared.They are supposedly warrantied for a year, but after about a week nobody from the company has returned my email about returning.My advice",health personal care,health care,pain relievers,157,pet supplies,False
12583,B000BQN9LA,Coolaroo Elevated Pet Bed with Knitted Fabric,A21AI7E7M8GR4R,1/1,5.0,1201392000,"I bought 2 of these after reading all reviews. They were not as hard to put together if you follow fellow reviewer Larry N. Ward ""UhrTeufel""'s instructions. ( Thank you Larry )My 2 dogs are 40 and 50 pounds. One is a dalmatian the other is a doberman mix and they fit well on the beds. If you have a dog that likes to spread out though, go with a bigger bed. I do put an blanket on top for extra cushion and warmth but during the summer we will forgo the blanket.They are sturdy and well made and I would definitely buy them again for the price. They are much less pricey then other elevated dog beds and, in my opinion, hold up well.",pet supplies,cats,beds furniture,125,pet supplies,True
39467,B000NCYL3W,"Australian Tree Fern - Cyathea cooperi - Exotic - 3"" Pot",A2J6VK7GV9QFZB,0/0,4.0,1342224000,"I had to cut some of the fronds that were already on the fern, they didn't do too well when I transplanted it.But new ones opened and they are stunning!",grocery gourmet food,fresh flowers live indoor plants,live indoor plants,30,pet supplies,False
8019,B000284ZNI,Fisher-Price Laugh & Learn Love to Play Puppy,AGDDOHJ6QDKSL,0/0,4.0,1168300800,I recently bought this toy for my cousin. It is working fine. I would recommend this toy to anyone. Only one disappointment is that the rhymes or alphabets and numbers would be heard sequentially only. That should not be a problem anyways..,toys games,baby toddler toys,unknown,42,toys games,True
26368,B000HQNBSU,"Lindt Excellence Extra Dark Chocolate 85% Cocoa, 3.5-Ounce Packages (Pack of 12)",AW3ME92UZVY3M,13/17,3.0,1291939200,"I'm a newbie to the world of high cocoa chocolate bars. I got one of these at my local grocery for $2, amazed they'd carry such a high end product, it's a very small store. My only previous purchase was a box of Chocolove 77% bars from Amazon. I've consumed one of a dozen bars.In comparing the two products, the only significant difference is the noticeable aftertaste of the Lindt bar which was not present with the Chocolove product. I'm talking several hours later after I'd brushed my teeth and gone to bed, still an aftertaste.Otherwise, both were very smooth with a rich chocolate taste. I chased the Lindt bar with a couple of dark Hershey kisses, amazing how sweet a Hershey kiss is after eating some high cocoa chocolate.Two other observations:1- A 3.5 ounce bar is huge. One bar is good for at least three servings for me. YMMV.2- The Lindt bar had a sealed foil wrapper, whereas the Chocolove bar had a folded paper and foil cover with no real seal.",grocery gourmet food,candy chocolate,chocolate bars,173,grocery gourmet food,True
8408,B00008DQJQ,Factory Reconditioned Braun 7526 Syncro Smart Logic Shaver,A1GTY0OP5NLEU8,0/0,5.0,1169596800,"I've owned my Braun which I bought on Amazon for over a year now. I have no complaints whatsoever. Any spot that was difficult to shave is still difficult relative to the rest of my face, but much less difficult than with previous razors. I find it very easy on my face. Cleaning is a breeze if you follow the instructions and partially open the screen and run it for a few seconds. Why anyone would spend money on the cradle and cleaners is beyond me. The battery still lasts me at least two weeks between recharging as indicated by the flashing red light. The beard trimmer works great. It would probably cut grass if you wanted.I would never consider spending the small fortune a new system with the cleaning cradle costs these days. This does everything I could ask of it at a very reasonable price.",health personal care,personal care,shaving hair removal,147,health personal care,True
5872,B0001HYKBM,Philips Norelco 7735X Cool Skin Lotion Dispensing Shaver,A3IVHFJB4SDZWU,3/3,3.0,1139097600,"I've used electric shavers for a long time now. Mainly because my face is too sensitive to shave with a blade. The Norelco 7735x gives a decent shave, but not one that you are going to get really close, especially if you want to do a ""dry"" shave. Using the gel or lotion really helps out. I found that the lotion works better. Shaving in the shower with the lotion gives the best results.The shaver is quieter than other shavers (especially the Braun), but seems to be much slower so shaving takes a good bit longer. The triple blades make it difficult to get under above your lip and I seem to have to get a disposible razor to get right under the nose. It did take about 2 weeks to get a fairly close shave. Overall, not a bad shave considering I paid about $35 for a reconditioned one. I wouldn't suggest shelling out more than that.Good",health personal care,personal care,shaving hair removal,158,health personal care,True
24619,B000FERLKI,Omron Sprague Rappaport Stethoscope,A2HXK1QF5S6Z3B,0/0,5.0,1282867200,"I purchased this for my home medical kit, and so far it has been great. It feels comfortable to me and works well. I'll probably buy another for my outdoor emergency bag.",health personal care,medical supplies equipment,health monitors,32,baby products,False
